stærð;gildi;eining
Teygni verðlags gagnvart VLF á mann;0.411268;hlutfall
R2;0.86386;hlutfall
Staðalvilla leifa;0.085271;log-einingar
VLF Íslands á mann;79320.0;EUR
Spáð verðlag Íslands;131.51626;vísitala
Frávik Íslands;0.229506;hlutfall
Frávik í staðalvillum leifa;2.423001;staðalvillur
