stærð;gildi;eining
SILC-miðgildi Íslands, time=2020;4933016;ISK
B6G heild 2020, bráðabirgðavintage;1544765.94;m.kr.
B6G heild 2024, bráðabirgðavintage;2425484.373;m.kr.
Vaxtastuðull heildartekna;1.570130665;hlutfall
Vaxtastuðull tekna á mann;1.445606237;hlutfall
Meðalgengi evru 2024;149.310321285;ISK/EUR
Framreiknað miðgildi, endurgerð birtu talnanna;51875.045389;EUR
Framreiknað miðgildi með vexti á mann;47760.922576;EUR
Heildarvöxtur umfram vöxt á mann;0.086139936;hlutfall
